,Year,Temperature,Anomaly,SmoothSignal,ScipySmoothSignal
0,1895,68.7,-1.4,41.800000000000004,69.17142857142858
1,1896,69.9,-0.2,55.82000000000001,69.21428571428572
2,1897,70.4,0.3,69.9,69.30000000000001
3,1898,70.1,0.0,70.14,69.37619047619049
4,1899,70.4,0.3,69.76000000000002,69.44761904761904
5,1900,69.9,-0.2,69.66000000000001,69.42380952380954
6,1901,68.0,-2.1,69.44000000000001,69.54761904761905
7,1902,69.9,-0.2,69.22000000000001,69.60952380952381
8,1903,69.0,-1.1,69.24000000000001,69.67142857142855
9,1904,69.3,-0.8,69.56,69.69047619047618
10,1905,70.0,-0.1,69.68,69.7095238095238
11,1906,69.6,-0.5,69.94,69.75238095238095
12,1907,70.5,0.4,70.12,69.7
13,1908,70.3,0.2,69.76,69.67142857142858
14,1909,70.2,0.1,70.10000000000001,69.6857142857143
15,1910,68.2,-1.9,70.0,69.61428571428573
16,1911,71.3,1.2,69.94,69.66666666666667
17,1912,70.0,-0.1,69.72,69.80952380952381
18,1913,70.0,-0.1,69.9,69.81904761904762
19,1914,69.1,-1.0,69.56,69.83809523809524
20,1915,69.1,-1.0,69.32000000000001,69.89047619047619
21,1916,69.6,-0.5,69.28,69.85714285714285
22,1917,68.8,-1.3,69.54,69.92857142857143
23,1918,69.8,-0.3,69.5,69.87142857142855
24,1919,70.4,0.3,69.78,69.89047619047618
25,1920,68.9,-1.2,70.22000000000001,69.89523809523807
26,1921,71.0,0.9,70.28,69.97619047619045
27,1922,71.0,0.9,70.08000000000001,69.96190476190475
28,1923,70.1,0.0,70.38000000000001,70.00476190476189
29,1924,69.4,-0.7,70.04,69.9952380952381
30,1925,70.4,0.3,70.06,70.02857142857142
31,1926,69.3,-0.8,69.9,70.07619047619046
32,1927,71.1,1.0,70.16,70.08571428571427
33,1928,69.3,-0.8,70.14,70.15238095238094
34,1929,70.7,0.6,70.26,70.19047619047619
35,1930,70.30000000000001,0.19999999999999996,70.24000000000001,70.08571428571427
36,1931,69.9,-0.2,70.56000000000002,70.12857142857142
37,1932,71.0,0.9,70.38000000000001,70.05238095238094
38,1933,70.9,0.8,70.28,69.98095238095237
39,1934,69.8,-0.3,70.32000000000001,69.98571428571427
40,1935,69.8,-0.3,70.08000000000001,70.04761904761904
41,1936,70.1,0.0,69.94,70.08571428571427
42,1937,69.8,-0.3,70.1,70.13333333333333
43,1938,70.2,0.1,69.78,70.15714285714284
44,1939,70.6,0.5,69.72,70.26666666666665
45,1940,68.2,-1.9,69.64,70.24761904761905
46,1941,69.8,-0.3,69.5,70.25238095238095
47,1942,69.4,-0.7,69.42,70.27142857142857
48,1943,69.5,-0.6,69.92,70.26190476190476
49,1944,70.2,0.1,70.2,70.22380952380952
50,1945,70.7,0.6,70.38,70.24285714285715
51,1946,71.2,1.1,70.80000000000001,70.24761904761905
52,1947,70.3,0.2,71.08000000000001,70.29047619047618
53,1948,71.6,1.5,71.0,70.25238095238096
54,1949,71.6,1.5,70.84,70.27142857142859
55,1950,70.3,0.2,70.84,70.25714285714285
56,1951,70.4,0.3,70.68,70.34285714285713
57,1952,70.3,0.2,70.38,70.34285714285714
58,1953,70.8,0.7,70.36,70.33333333333333
59,1954,70.1,0.0,70.25999999999999,70.35714285714285
60,1955,70.2,0.1,70.4,70.35714285714285
61,1956,69.9,-0.2,70.04,70.27619047619048
62,1957,71.0,0.9,70.14000000000001,70.22857142857143
63,1958,69.0,-1.1,70.16,70.14761904761905
64,1959,70.6,0.5,70.18,70.02380952380953
